"yr","blk","a1","a2","a3","a4","a5","a7","a8","a9","a10","a11","a12","bonus","pf","welfare","mwdays","nwdays","wdays","costop","expshare","mult"
"24","A","113980","99999",1,"9999","23954","09","99",2,"9999",1,1,1186300,1624100,285300,305,0,305,1274129100,0,1
"24","A","113981","99999",1,"9999","23954","09","99",2,"9999",1,1,0,0,839339,301,0,301,273923750,0,1
"24","A","113982","99999",1,"9999","23955","09","99",1,"9999",1,7,0,0,0,0,0,0,0,0,0
"24","A","113983","99999",1,"9999","23954","09","99",1,"9999",1,8,0,0,0,0,0,0,0,0,0
"24","A","113984","99999",1,"9999","23952","09","99",1,"9999",1,1,1839000,352000,5356000,307,0,307,274840000,0,1
"24","A","113985","99999",1,"9999","23952","09","99",1,"9999",1,1,0,0,0,306,0,306,11032708,0,1
"24","A","113986","99999",1,"9999","23960","09","99",1,"9999",1,1,0,0,0,232,0,232,4104764,0,1
"24","A","113987","99999",1,"9999","23960","09","99",2,"9999",6,1,0,57792000,28874000,301,0,301,2129620029,0,1
"24","A","113988","99999",1,"9999","23960","09","99",2,"9999",2,1,501976,850007,1319819,299,0,299,354474134,0,1
"24","A","113990","99999",1,"9999","23960","09","99",1,"9999",1,3,0,0,0,0,0,0,0,0,1
"24","A","113993","99999",1,"9999","23960","09","99",2,"9999",1,1,2179400,4566653,1409262,299,0,299,464721105,0,1
"24","A","113994","99999",1,"9999","23960","09","99",1,"9999",1,1,0,0,362326,298,0,298,246068800,0,1
"24","A","113998","99999",1,"9999","23960","09","99",2,"9999",3,1,72864,155024,478076,300,0,300,186106308,0,1
"24","A","114001","99999",1,"9999","23960","09","99",2,"9999",1,1,2385000,11443000,8920000,304,0,304,571414000,0,1
"24","A","114002","99999",1,"9999","23960","09","99",2,"9999",1,1,0,43445,0,293,0,293,28269113,0,1
"24","A","114003","99999",1,"9999","23960","09","99",1,"9999",1,1,0,0,0,131,0,131,17361500,0,1
"24","A","114004","99999",1,"9999","23960","09","99",1,"9999",1,1,0,0,5020,121,91,212,9028433,0,1
"24","A","114005","99999",1,"9999","23993","09","99",1,"9999",1,1,116960,45591,0,302,0,302,14320185,0,1
"24","A","114006","99999",1,"9999","23993","09","99",1,"9999",1,1,97332,39169,0,302,0,302,28857900,0,1
"24","A","114007","99999",1,"9999","23999","09","99",1,"9999",1,1,0,0,57620,311,0,311,93649768,0,1
"24","A","114008","99999",1,"9999","23991","09","99",1,"9999",1,1,1099528,4398113,816755,310,0,310,1150533768,0,1
"24","A","114009","99999",1,"9999","28132","09","99",2,"9999",1,1,256821,235698,325200,304,0,304,47493297,0,1
"24","A","114010","99999",1,"9999","20116","09","99",2,"9999",1,1,594932,1279182,2056326,304,0,304,139748871,0,1
"24","A","114011","99999",1,"9999","23999","09","99",2,"9999",1,4,0,0,0,0,0,0,0,0,1
"24","A","114013","99999",1,"9999","24109","09","99",1,"9999",1,1,412711,1624091,186941,305,0,305,660582344,0,1
"24","A","114014","99999",1,"9999","24109","09","99",1,"9999",1,1,548752,4263836,242524,301,0,301,2350763610,0,1
"24","A","114015","99999",1,"9999","24103","09","99",1,"9999",1,5,0,0,0,0,0,0,0,0,0
"24","A","114016","99999",1,"9999","24106","09","99",2,"9999",1,1,4837180,7058415,4139077,303,0,303,34291645915,2,1
"24","A","114017","99999",1,"9999","24105","09","99",2,"9999",1,1,0,12749618,5645933,310,0,310,15005313266,0,1
"24","A","114018","99999",1,"9999","24108","09","99",1,"9999",1,1,0,16342,0,305,0,305,48308476,0,1
"24","A","114019","99999",1,"9999","24109","09","99",2,"9999",1,5,0,0,0,0,0,0,0,0,0
"24","A","114020","99999",1,"9999","24101","09","99",2,"9999",1,1,66376,0,0,299,0,299,36713622,0,1
"24","A","114021","99999",1,"9999","24108","09","99",2,"9999",1,1,4209000,11398000,5356000,303,0,303,1813497000,0,1
"24","A","114022","99999",1,"9999","24108","09","99",2,"9999",1,1,58854,0,0,305,0,305,50529360,0,1
"24","A","114023","99999",1,"9999","24106","09","99",2,"9999",1,1,2313212,6344608,1840024,304,0,304,18917060825,0,1
"24","A","114024","99999",1,"9999","24105","09","99",1,"9999",1,1,777800,933379,1570014,311,0,311,805795969,0,1
"24","A","114025","99999",1,"9999","24105","09","99",2,"9999",1,1,160121759,61242054,80359080,305,0,305,43466358005,0,1
"24","A","114026","99999",1,"9999","24108","09","99",2,"9999",1,1,2016000,4431000,1717000,304,0,304,8988517000,0,1
"24","A","114027","99999",1,"9999","24103","09","99",2,"9999",1,1,744000,530000,0,305,0,305,383480000,0,1
"24","A","114028","99999",1,"9999","24104","09","99",1,"9999",1,1,0,1807500,850000,303,0,303,1475277000,0,1
"24","A","114029","99999",1,"9999","24109","09","99",2,"9999",1,1,231000,121000,0,303,0,303,247682000,0,1
"24","A","114030","99999",1,"9999","24108","09","99",2,"9999",1,1,30156,11792,34490,173,0,173,26312443,0,1
"24","A","114031","99999",1,"9999","24103","09","99",1,"9999",1,1,332355,646039,0,303,0,303,590891624,0,1
"24","A","114032","99999",1,"9999","24109","09","99",1,"9999",1,1,20991,71147,0,365,0,365,627069336,0,1
"24","A","114033","99999",1,"9999","24101","09","99",2,"9999",1,1,0,22149,23904,304,0,304,17472276,0,1
"24","A","114034","99999",1,"9999","24103","09","99",1,"9999",1,1,1013344,630480,38819,361,0,361,2711336654,0,1
"24","A","114035","99999",1,"9999","24109","09","99",1,"9999",1,1,0,134742,0,307,0,307,465173226,0,1
"24","A","114036","99999",1,"9999","24105","09","99",1,"9999",1,1,0,1925000,434000,302,0,302,3562936000,0,1
"24","A","114037","99999",1,"9999","24103","09","99",2,"9999",1,1,952936,1204339,286214,301,0,301,1264541133,0,1
"24","A","114038","99999",1,"9999","24102","09","99",1,"9999",1,1,350478,1498039,0,300,0,300,2031059309,0,1
"24","A","114039","99999",1,"9999","24109","09","99",1,"9999",1,4,0,0,0,0,0,0,0,0,1
"24","A","114040","99999",1,"9999","24109","09","99",2,"9999",1,1,309000,476000,710000,304,0,304,1086312000,0,1
"24","A","114041","99999",1,"9999","24103","09","99",2,"9999",3,1,8348994,13018000,11290000,304,0,304,10877921000,0,1
"24","A","114042","99999",1,"9999","24109","09","99",1,"9999",1,1,35799,113878,0,284,0,284,36836949,0,1
"24","A","114043","99999",1,"9999","24105","09","99",2,"9999",1,1,7566466,7402571,3222247,310,0,310,1079293616,51,1
"24","A","114044","99999",1,"9999","24101","09","99",1,"9999",1,1,15191000,26096000,2226000,305,0,305,20158877000,0,1
"24","A","114045","99999",1,"9999","24105","09","99",2,"9999",1,1,20685000,14303000,9935000,366,0,366,7006229000,17,1
"24","A","114046","99999",1,"9999","24108","09","99",2,"9999",3,1,40551939,36662000,7682000,304,0,304,21877250400,0,1
"24","A","114047","99999",1,"9999","24103","09","99",1,"9999",1,8,0,0,0,0,0,0,0,0,0
"24","A","114048","99999",1,"9999","24103","09","99",2,"9999",1,1,661286,451885,13775,304,0,304,407125468,0,1
"24","A","114049","99999",1,"9999","24103","09","99",1,"9999",1,1,42617,86586,218510,259,46,305,50790946,0,1
"24","A","114050","99999",1,"9999","24105","09","99",1,"9999",1,2,0,0,0,0,249,249,828859,0,1
"24","A","114051","99999",1,"9999","24103","09","99",1,"9999",1,1,3099422,763711,105680,302,0,302,2515422922,0,1
"24","A","114052","99999",1,"9999","24104","09","99",1,"9999",1,1,0,4389880,0,304,0,304,2129481827,0,1
"24","A","114053","99999",1,"9999","24103","09","99",1,"9999",1,1,0,219668,0,310,2,312,432842708,0,1
"24","A","114054","99999",1,"9999","24109","09","99",2,"9999",1,1,0,0,74174,306,0,306,52130273,0,1
"24","A","114055","99999",1,"9999","24109","09","99",2,"9999",1,1,0,4171860,1839640,310,0,310,2363728880,0,1
"24","A","114056","99999",1,"9999","24106","09","99",2,"9999",2,1,5500000,22300000,7700000,302,0,302,24608700000,0,1
"24","A","114057","99999",1,"9999","24101","09","99",1,"9999",1,1,0,0,6606,212,0,212,3449637,0,1
"24","A","114058","99999",1,"9999","22209","09","99",2,"9999",1,1,4480430,3692720,476160,310,0,310,4833664150,0,1
"24","A","114059","99999",1,"9999","24109","09","99",1,"9999",1,1,0,28000,115000,301,0,301,458202000,0,1
"24","A","114060","99999",1,"9999","24105","09","99",2,"9999",1,1,368676,696372,0,254,0,254,1170322917,0,1
